sample,population,count,total_count,percentage
sample00015,monocyte,20937,102691,20.39
sample00016,b_cell,7433,95824,7.76
sample00016,cd8_t_cell,22881,95824,23.88
sample00016,cd4_t_cell,33881,95824,35.36
sample00016,nk_cell,9432,95824,9.84
sample00016,monocyte,22197,95824,23.16
sample00017,b_cell,3226,98639,3.27
sample00017,cd8_t_cell,20404,98639,20.69
sample00017,cd4_t_cell,36405,98639,36.91
sample00017,nk_cell,20739,98639,21.03
sample00017,monocyte,17865,98639,18.11
sample00018,b_cell,3578,101123,3.54
sample00018,cd8_t_cell,29520,101123,29.19
sample00018,cd4_t_cell,32675,101123,32.31
sample00018,nk_cell,15537,101123,15.36
sample00018,monocyte,19813,101123,19.59
sample00019,b_cell,8022,97405,8.24
sample00019,cd8_t_cell,27175,97405,27.9
sample00019,cd4_t_cell,30759,97405,31.58
sample00019,nk_cell,10983,97405,11.28
sample00019,monocyte,20466,97405,21.01
sample00020,b_cell,6382,97228,6.56
sample00020,cd8_t_cell,17469,97228,17.97
sample00020,cd4_t_cell,32731,97228,33.66
sample00020,nk_cell,18056,97228,18.57
sample00020,monocyte,22590,97228,23.23
sample00021,b_cell,10337,100750,10.26
sample00021,cd8_t_cell,19144,100750,19.0
sample00021,cd4_t_cell,31535,100750,31.3
sample00021,nk_cell,12763,100750,12.67
sample00021,monocyte,26971,100750,26.77
sample00022,b_cell,9563,92670,10.32
sample00022,cd8_t_cell,22424,92670,24.2
sample00022,cd4_t_cell,32814,92670,35.41
sample00022,nk_cell,11565,92670,12.48
sample00022,monocyte,16304,92670,17.59
sample00023,b_cell,6924,104960,6.6
sample00023,cd8_t_cell,28080,104960,26.75
sample00023,cd4_t_cell,29844,104960,28.43
sample00023,nk_cell,15792,104960,15.05
sample00023,monocyte,24320,104960,23.17
sample00024,b_cell,7552,99969,7.55
sample00024,cd8_t_cell,27821,99969,27.83
sample00024,cd4_t_cell,35270,99969,35.28
sample00024,nk_cell,19681,99969,19.69
sample00024,monocyte,9645,99969,9.65
sample00025,b_cell,11714,95534,12.26
sample00025,cd8_t_cell,21407,95534,22.41
sample00025,cd4_t_cell,30323,95534,31.74
sample00025,nk_cell,20301,95534,21.25
sample00025,monocyte,11789,95534,12.34
sample00026,b_cell,7936,95777,8.29
sample00026,cd8_t_cell,23786,95777,24.83
sample00026,cd4_t_cell,34545,95777,36.07
sample00026,nk_cell,13929,95777,14.54
sample00026,monocyte,15581,95777,16.27
sample00027,b_cell,8850,93164,9.5
sample00027,cd8_t_cell,21268,93164,22.83
sample00027,cd4_t_cell,26079,93164,27.99
sample00027,nk_cell,18191,93164,19.53
sample00027,monocyte,18776,93164,20.15
sample00028,b_cell,11386,106062,10.74
sample00028,cd8_t_cell,28155,106062,26.55
sample00028,cd4_t_cell,28400,106062,26.78
sample00028,nk_cell,8870,106062,8.36
sample00028,monocyte,29251,106062,27.58
sample00029,b_cell,5606,97156,5.77
sample00029,cd8_t_cell,28476,97156,29.31
sample00029,cd4_t_cell,31305,97156,32.22
sample00029,nk_cell,15860,97156,16.32
sample00029,monocyte,15909,97156,16.37
sample00030,b_cell,6413,93972,6.82
sample00030,cd8_t_cell,25167,93972,26.78
sample00030,cd4_t_cell,20437,93972,21.75
sample00030,nk_cell,22317,93972,23.75
sample00030,monocyte,19638,93972,20.9
sample00031,b_cell,7007,106625,6.57
sample00031,cd8_t_cell,30482,106625,28.59
sample00031,cd4_t_cell,31653,106625,29.69
sample00031,nk_cell,14167,106625,13.29
sample00031,monocyte,23316,106625,21.87
sample00032,b_cell,11118,101357,10.97
sample00032,cd8_t_cell,19704,101357,19.44
sample00032,cd4_t_cell,32582,101357,32.15
sample00032,nk_cell,20603,101357,20.33
sample00032,monocyte,17350,101357,17.12
sample00033,b_cell,9054,93131,9.72
sample00033,cd8_t_cell,31679,93131,34.02
sample00033,cd4_t_cell,24897,93131,26.73
sample00033,nk_cell,15569,93131,16.72
sample00033,monocyte,11932,93131,12.81
sample00034,b_cell,8350,103870,8.04
sample00034,cd8_t_cell,26526,103870,25.54
sample00034,cd4_t_cell,36716,103870,35.35
sample00034,nk_cell,10994,103870,10.58
sample00034,monocyte,21284,103870,20.49
sample00035,b_cell,5327,94622,5.63
sample00035,cd8_t_cell,28094,94622,29.69
sample00035,cd4_t_cell,38264,94622,40.44
sample00035,nk_cell,7249,94622,7.66
sample00035,monocyte,15688,94622,16.58
sample00036,b_cell,8635,103532,8.34
sample00036,cd8_t_cell,29458,103532,28.45
sample00036,cd4_t_cell,31787,103532,30.7
sample00036,nk_cell,16498,103532,15.94
sample00036,monocyte,17154,103532,16.57
sample00037,b_cell,8915,92368,9.65
sample00037,cd8_t_cell,21012,92368,22.75
sample00037,cd4_t_cell,24564,92368,26.59
sample00037,nk_cell,14367,92368,15.55
sample00037,monocyte,23510,92368,25.45
sample00038,b_cell,12062,98897,12.2
sample00038,cd8_t_cell,18923,98897,19.13
sample00038,cd4_t_cell,33109,98897,33.48
sample00038,nk_cell,14376,98897,14.54
sample00038,monocyte,20427,98897,20.65
sample00039,b_cell,14634,107756,13.58
sample00039,cd8_t_cell,26888,107756,24.95
sample00039,cd4_t_cell,35553,107756,32.99
sample00039,nk_cell,11872,107756,11.02
sample00039,monocyte,18809,107756,17.46
sample00040,b_cell,11007,105943,10.39
sample00040,cd8_t_cell,25723,105943,24.28
sample00040,cd4_t_cell,25872,105943,24.42
sample00040,nk_cell,18325,105943,17.3
sample00040,monocyte,25016,105943,23.61
sample00041,b_cell,11583,91358,12.68
sample00041,cd8_t_cell,23517,91358,25.74
sample00041,cd4_t_cell,22586,91358,24.72
sample00041,nk_cell,14431,91358,15.8
sample00041,monocyte,19241,91358,21.06
sample00042,b_cell,12118,111631,10.86
sample00042,cd8_t_cell,22342,111631,20.01
sample00042,cd4_t_cell,41403,111631,37.09
sample00042,nk_cell,18660,111631,16.72
sample00042,monocyte,17108,111631,15.33
sample00043,b_cell,4750,104827,4.53
sample00043,cd8_t_cell,23553,104827,22.47
sample00043,cd4_t_cell,36392,104827,34.72
sample00043,nk_cell,15769,104827,15.04
sample00043,monocyte,24363,104827,23.24
sample00044,b_cell,15793,106034,14.89
sample00044,cd8_t_cell,25351,106034,23.91
sample00044,cd4_t_cell,37025,106034,34.92
sample00044,nk_cell,13972,106034,13.18
sample00044,monocyte,13893,106034,13.1
sample00045,b_cell,13792,104473,13.2
sample00045,cd8_t_cell,26314,104473,25.19
sample00045,cd4_t_cell,33714,104473,32.27
sample00045,nk_cell,17105,104473,16.37
sample00045,monocyte,13548,104473,12.97
sample00046,b_cell,7726,105731,7.31
sample00046,cd8_t_cell,25456,105731,24.08
sample00046,cd4_t_cell,29221,105731,27.64
sample00046,nk_cell,17901,105731,16.93
sample00046,monocyte,25427,105731,24.05
sample00047,b_cell,8249,93338,8.84
sample00047,cd8_t_cell,20566,93338,22.03
sample00047,cd4_t_cell,37597,93338,40.28
sample00047,nk_cell,11057,93338,11.85
sample00047,monocyte,15869,93338,17.0
sample00048,b_cell,13648,105178,12.98
sample00048,cd8_t_cell,32565,105178,30.96
sample00048,cd4_t_cell,31150,105178,29.62
sample00048,nk_cell,10330,105178,9.82
sample00048,monocyte,17485,105178,16.62
sample00049,b_cell,11419,104513,10.93
sample00049,cd8_t_cell,20811,104513,19.91
sample00049,cd4_t_cell,29883,104513,28.59
sample00049,nk_cell,21731,104513,20.79
sample00049,monocyte,20669,104513,19.78
sample00050,b_cell,14113,106504,13.25
sample00050,cd8_t_cell,32701,106504,30.7
sample00050,cd4_t_cell,32832,106504,30.83
sample00050,nk_cell,13959,106504,13.11
sample00050,monocyte,12899,106504,12.11
sample00051,b_cell,9765,88918,10.98
sample00051,cd8_t_cell,21622,88918,24.32
sample00051,cd4_t_cell,25644,88918,28.84
sample00051,nk_cell,12678,88918,14.26
sample00051,monocyte,19209,88918,21.6
sample00052,b_cell,11122,95942,11.59
sample00052,cd8_t_cell,30718,95942,32.02
sample00052,cd4_t_cell,21886,95942,22.81
sample00052,nk_cell,11639,95942,12.13
sample00052,monocyte,20577,95942,21.45
sample00053,b_cell,11822,99135,11.93
sample00053,cd8_t_cell,26750,99135,26.98
sample00053,cd4_t_cell,30587,99135,30.85
sample00053,nk_cell,7432,99135,7.5
sample00053,monocyte,22544,99135,22.74
sample00054,b_cell,7782,99486,7.82
sample00054,cd8_t_cell,26235,99486,26.37
sample00054,cd4_t_cell,26399,99486,26.54
sample00054,nk_cell,18328,99486,18.42
sample00054,monocyte,20742,99486,20.85
sample00055,b_cell,11645,101344,11.49
sample00055,cd8_t_cell,23172,101344,22.86
sample00055,cd4_t_cell,34912,101344,34.45
sample00055,nk_cell,15392,101344,15.19
sample00055,monocyte,16223,101344,16.01
sample00056,b_cell,11022,92361,11.93
sample00056,cd8_t_cell,18780,92361,20.33
sample00056,cd4_t_cell,24674,92361,26.71
sample00056,nk_cell,17791,92361,19.26
sample00056,monocyte,20094,92361,21.76
sample00057,b_cell,15157,111127,13.64
sample00057,cd8_t_cell,19991,111127,17.99
sample00057,cd4_t_cell,40906,111127,36.81
sample00057,nk_cell,11254,111127,10.13
sample00057,monocyte,23819,111127,21.43
sample00058,b_cell,10510,93201,11.28
sample00058,cd8_t_cell,20389,93201,21.88
sample00058,cd4_t_cell,28561,93201,30.64
sample00058,nk_cell,16299,93201,17.49
sample00058,monocyte,17442,93201,18.71
sample00059,b_cell,17545,108944,16.1
sample00059,cd8_t_cell,24675,108944,22.65
sample00059,cd4_t_cell,33022,108944,30.31
sample00059,nk_cell,14244,108944,13.07
sample00059,monocyte,19458,108944,17.86
sample00060,b_cell,11035,103534,10.66
sample00060,cd8_t_cell,21406,103534,20.68
sample00060,cd4_t_cell,38817,103534,37.49
sample00060,nk_cell,14559,103534,14.06
sample00060,monocyte,17717,103534,17.11
sample00061,b_cell,4508,111970,4.03
sample00061,cd8_t_cell,34867,111970,31.14
sample00061,cd4_t_cell,38281,111970,34.19
sample00061,nk_cell,16013,111970,14.3
sample00061,monocyte,18301,111970,16.34
sample00062,b_cell,10066,95286,10.56
sample00062,cd8_t_cell,20104,95286,21.1
sample00062,cd4_t_cell,21554,95286,22.62
sample00062,nk_cell,17505,95286,18.37
sample00062,monocyte,26057,95286,27.35
sample00063,b_cell,7236,93940,7.7
sample00063,cd8_t_cell,32409,93940,34.5
sample00063,cd4_t_cell,29335,93940,31.23
sample00063,nk_cell,10459,93940,11.13
sample00063,monocyte,14501,93940,15.44
sample00064,b_cell,10199,109577,9.31
sample00064,cd8_t_cell,24842,109577,22.67
sample00064,cd4_t_cell,33535,109577,30.6
sample00064,nk_cell,16300,109577,14.88
sample00064,monocyte,24701,109577,22.54
sample00065,b_cell,8425,92559,9.1
sample00065,cd8_t_cell,28293,92559,30.57
sample00065,cd4_t_cell,24750,92559,26.74
sample00065,nk_cell,12096,92559,13.07
sample00065,monocyte,18995,92559,20.52
sample00066,b_cell,8052,107284,7.51
sample00066,cd8_t_cell,35323,107284,32.92
sample00066,cd4_t_cell,37350,107284,34.81
sample00066,nk_cell,13927,107284,12.98
sample00066,monocyte,12632,107284,11.77
sample00067,b_cell,11874,107589,11.04
sample00067,cd8_t_cell,24116,107589,22.41
sample00067,cd4_t_cell,29460,107589,27.38
sample00067,nk_cell,21402,107589,19.89
sample00067,monocyte,20737,107589,19.27
sample00068,b_cell,10501,110245,9.53
sample00068,cd8_t_cell,33801,110245,30.66
sample00068,cd4_t_cell,35458,110245,32.16
sample00068,nk_cell,7397,110245,6.71
sample00068,monocyte,23088,110245,20.94
sample00069,b_cell,11742,110094,10.67
sample00069,cd8_t_cell,30825,110094,28.0
sample00069,cd4_t_cell,35087,110094,31.87
sample00069,nk_cell,12904,110094,11.72
sample00069,monocyte,19536,110094,17.74
sample00070,b_cell,9131,97532,9.36
sample00070,cd8_t_cell,21272,97532,21.81
sample00070,cd4_t_cell,31460,97532,32.26
sample00070,nk_cell,15908,97532,16.31
sample00070,monocyte,19761,97532,20.26
sample00071,b_cell,5029,96197,5.23
sample00071,cd8_t_cell,19587,96197,20.36
sample00071,cd4_t_cell,36013,96197,37.44
sample00071,nk_cell,19596,96197,20.37
sample00071,monocyte,15972,96197,16.6
sample00072,b_cell,8730,93613,9.33
sample00072,cd8_t_cell,26500,93613,28.31
sample00072,cd4_t_cell,22481,93613,24.01
sample00072,nk_cell,16601,93613,17.73
sample00072,monocyte,19301,93613,20.62
sample00073,b_cell,10426,104898,9.94
sample00073,cd8_t_cell,28944,104898,27.59
sample00073,cd4_t_cell,26510,104898,25.27
sample00073,nk_cell,19451,104898,18.54
sample00073,monocyte,19567,104898,18.65
sample00074,b_cell,13166,92232,14.27
sample00074,cd8_t_cell,18608,92232,20.18
sample00074,cd4_t_cell,33699,92232,36.54
sample00074,nk_cell,15559,92232,16.87
sample00074,monocyte,11200,92232,12.14
sample00075,b_cell,14480,104711,13.83
sample00075,cd8_t_cell,26460,104711,25.27
sample00075,cd4_t_cell,33149,104711,31.66
sample00075,nk_cell,14983,104711,14.31
sample00075,monocyte,15639,104711,14.94
sample00076,b_cell,12385,110097,11.25
sample00076,cd8_t_cell,23764,110097,21.58
sample00076,cd4_t_cell,37340,110097,33.92
sample00076,nk_cell,15701,110097,14.26
sample00076,monocyte,20907,110097,18.99
sample00077,b_cell,9602,105432,9.11
sample00077,cd8_t_cell,18744,105432,17.78
sample00077,cd4_t_cell,42528,105432,40.34
sample00077,nk_cell,16602,105432,15.75
sample00077,monocyte,17956,105432,17.03
sample00078,b_cell,5623,107869,5.21
sample00078,cd8_t_cell,32983,107869,30.58
sample00078,cd4_t_cell,26856,107869,24.9
sample00078,nk_cell,18744,107869,17.38
sample00078,monocyte,23663,107869,21.94
sample00079,b_cell,5792,99165,5.84
sample00079,cd8_t_cell,32012,99165,32.28
sample00079,cd4_t_cell,32123,99165,32.39
sample00079,nk_cell,10792,99165,10.88
sample00079,monocyte,18446,99165,18.6
sample00080,b_cell,5519,95727,5.77
sample00080,cd8_t_cell,22834,95727,23.85
sample00080,cd4_t_cell,31007,95727,32.39
sample00080,nk_cell,17450,95727,18.23
sample00080,monocyte,18917,95727,19.76
sample00081,b_cell,9595,93286,10.29
sample00081,cd8_t_cell,18940,93286,20.3
sample00081,cd4_t_cell,31245,93286,33.49
sample00081,nk_cell,14582,93286,15.63
sample00081,monocyte,18924,93286,20.29
sample00082,b_cell,6068,103389,5.87
sample00082,cd8_t_cell,31190,103389,30.17
sample00082,cd4_t_cell,30549,103389,29.55
sample00082,nk_cell,17900,103389,17.31
sample00082,monocyte,17682,103389,17.1
sample00083,b_cell,7306,88242,8.28
sample00083,cd8_t_cell,23204,88242,26.3
sample00083,cd4_t_cell,23762,88242,26.93
sample00083,nk_cell,16442,88242,18.63
sample00083,monocyte,17528,88242,19.86
sample00084,b_cell,10469,100815,10.38
sample00084,cd8_t_cell,24997,100815,24.79
sample00084,cd4_t_cell,28340,100815,28.11
sample00084,nk_cell,18128,100815,17.98
sample00084,monocyte,18881,100815,18.73
sample00085,b_cell,13770,102542,13.43
sample00085,cd8_t_cell,32384,102542,31.58
sample00085,cd4_t_cell,26218,102542,25.57
sample00085,nk_cell,17263,102542,16.84
sample00085,monocyte,12907,102542,12.59
sample00086,b_cell,12479,105610,11.82
sample00086,cd8_t_cell,18340,105610,17.37
sample00086,cd4_t_cell,31475,105610,29.8
sample00086,nk_cell,26652,105610,25.24
sample00086,monocyte,16664,105610,15.78
sample00087,b_cell,5686,91946,6.18
sample00087,cd8_t_cell,21892,91946,23.81
sample00087,cd4_t_cell,26848,91946,29.2
sample00087,nk_cell,12424,91946,13.51
sample00087,monocyte,25096,91946,27.29
sample00088,b_cell,6883,101732,6.77
sample00088,cd8_t_cell,23831,101732,23.43
sample00088,cd4_t_cell,31277,101732,30.74
sample00088,nk_cell,18993,101732,18.67
sample00088,monocyte,20748,101732,20.39
sample00089,b_cell,14432,107271,13.45
sample00089,cd8_t_cell,23729,107271,22.12
sample00089,cd4_t_cell,31757,107271,29.6
sample00089,nk_cell,15290,107271,14.25
sample00089,monocyte,22063,107271,20.57
sample00090,b_cell,13492,102290,13.19
sample00090,cd8_t_cell,20490,102290,20.03
sample00090,cd4_t_cell,26759,102290,26.16
sample00090,nk_cell,18101,102290,17.7
sample00090,monocyte,23448,102290,22.92
sample00091,b_cell,4652,102598,4.53
sample00091,cd8_t_cell,30489,102598,29.72
sample00091,cd4_t_cell,33782,102598,32.93
sample00091,nk_cell,17885,102598,17.43
sample00091,monocyte,15790,102598,15.39
sample00092,b_cell,7510,113429,6.62
sample00092,cd8_t_cell,22955,113429,20.24
sample00092,cd4_t_cell,37137,113429,32.74
sample00092,nk_cell,22559,113429,19.89
sample00092,monocyte,23268,113429,20.51
sample00093,b_cell,8676,109064,7.95
sample00093,cd8_t_cell,22893,109064,20.99
sample00093,cd4_t_cell,33280,109064,30.51
sample00093,nk_cell,27470,109064,25.19
sample00093,monocyte,16745,109064,15.35
sample00094,b_cell,13462,102270,13.16
sample00094,cd8_t_cell,19888,102270,19.45
sample00094,cd4_t_cell,23802,102270,23.27
sample00094,nk_cell,19233,102270,18.81
sample00094,monocyte,25885,102270,25.31
sample00095,b_cell,4896,93081,5.26
sample00095,cd8_t_cell,29022,93081,31.18
sample00095,cd4_t_cell,17746,93081,19.07
sample00095,nk_cell,13579,93081,14.59
sample00095,monocyte,27838,93081,29.91
sample00096,b_cell,8717,108158,8.06
sample00096,cd8_t_cell,29369,108158,27.15
sample00096,cd4_t_cell,31047,108158,28.71
sample00096,nk_cell,13509,108158,12.49
sample00096,monocyte,25516,108158,23.59
sample00097,b_cell,11469,100776,11.38
sample00097,cd8_t_cell,25912,100776,25.71
sample00097,cd4_t_cell,25644,100776,25.45
sample00097,nk_cell,11004,100776,10.92
sample00097,monocyte,26747,100776,26.54
sample00098,b_cell,10482,105304,9.95
sample00098,cd8_t_cell,25543,105304,24.26
sample00098,cd4_t_cell,31326,105304,29.75
sample00098,nk_cell,14459,105304,13.73
sample00098,monocyte,23494,105304,22.31
sample00099,b_cell,12589,107859,11.67
sample00099,cd8_t_cell,30282,107859,28.08
sample00099,cd4_t_cell,30346,107859,28.13
sample00099,nk_cell,18392,107859,17.05
sample00099,monocyte,16250,107859,15.07
sample00100,b_cell,12923,106648,12.12
sample00100,cd8_t_cell,24732,106648,23.19
sample00100,cd4_t_cell,32069,106648,30.07
sample00100,nk_cell,19335,106648,18.13
sample00100,monocyte,17589,106648,16.49
sample00101,b_cell,18583,100154,18.55
sample00101,cd8_t_cell,28514,100154,28.47
sample00101,cd4_t_cell,23455,100154,23.42
sample00101,nk_cell,11925,100154,11.91
sample00101,monocyte,17677,100154,17.65
sample00102,b_cell,16339,102212,15.99
sample00102,cd8_t_cell,15936,102212,15.59
sample00102,cd4_t_cell,30765,102212,30.1
sample00102,nk_cell,16631,102212,16.27
sample00102,monocyte,22541,102212,22.05
sample00103,b_cell,8845,109022,8.11
sample00103,cd8_t_cell,29598,109022,27.15
sample00103,cd4_t_cell,40757,109022,37.38
sample00103,nk_cell,9386,109022,8.61
sample00103,monocyte,20436,109022,18.74
sample00104,b_cell,7005,110049,6.37
sample00104,cd8_t_cell,22323,110049,20.28
sample00104,cd4_t_cell,37678,110049,34.24
sample00104,nk_cell,22843,110049,20.76
sample00104,monocyte,20200,110049,18.36
sample00105,b_cell,10654,97807,10.89
sample00105,cd8_t_cell,20879,97807,21.35
sample00105,cd4_t_cell,27062,97807,27.67
sample00105,nk_cell,14944,97807,15.28
sample00105,monocyte,24268,97807,24.81
sample00106,b_cell,10373,93933,11.04
sample00106,cd8_t_cell,17211,93933,18.32
sample00106,cd4_t_cell,31487,93933,33.52
sample00106,nk_cell,15182,93933,16.16
sample00106,monocyte,19680,93933,20.95
sample00107,b_cell,17623,102371,17.21
sample00107,cd8_t_cell,22928,102371,22.4
sample00107,cd4_t_cell,41127,102371,40.17
sample00107,nk_cell,10535,102371,10.29
sample00107,monocyte,10158,102371,9.92
sample00108,b_cell,4983,97245,5.12
sample00108,cd8_t_cell,27559,97245,28.34
sample00108,cd4_t_cell,26215,97245,26.96
sample00108,nk_cell,17005,97245,17.49
sample00108,monocyte,21483,97245,22.09
sample00109,b_cell,13509,104944,12.87
sample00109,cd8_t_cell,20448,104944,19.48
sample00109,cd4_t_cell,37336,104944,35.58
sample00109,nk_cell,19606,104944,18.68
sample00109,monocyte,14045,104944,13.38
sample00110,b_cell,11477,97311,11.79
sample00110,cd8_t_cell,23447,97311,24.09
sample00110,cd4_t_cell,34048,97311,34.99
sample00110,nk_cell,13382,97311,13.75
sample00110,monocyte,14957,97311,15.37
sample00111,b_cell,15992,102821,15.55
sample00111,cd8_t_cell,23376,102821,22.73
sample00111,cd4_t_cell,35615,102821,34.64
sample00111,nk_cell,15400,102821,14.98
sample00111,monocyte,12438,102821,12.1
sample00112,b_cell,8100,99754,8.12
sample00112,cd8_t_cell,25296,99754,25.36
sample00112,cd4_t_cell,32544,99754,32.62
sample00112,nk_cell,12267,99754,12.3
sample00112,monocyte,21547,99754,21.6
sample00113,b_cell,8777,108308,8.1
sample00113,cd8_t_cell,28919,108308,26.7
sample00113,cd4_t_cell,33746,108308,31.16
sample00113,nk_cell,10391,108308,9.59
sample00113,monocyte,26475,108308,24.44
sample00114,b_cell,13741,106352,12.92
sample00114,cd8_t_cell,28857,106352,27.13
sample00114,cd4_t_cell,31383,106352,29.51
sample00114,nk_cell,18088,106352,17.01
sample00114,monocyte,14283,106352,13.43
sample00115,b_cell,5722,92639,6.18
sample00115,cd8_t_cell,23044,92639,24.88
sample00115,cd4_t_cell,29410,92639,31.75
sample00115,nk_cell,15162,92639,16.37
sample00115,monocyte,19301,92639,20.83
sample00116,b_cell,6304,99836,6.31
sample00116,cd8_t_cell,18835,99836,18.87
sample00116,cd4_t_cell,39506,99836,39.57
sample00116,nk_cell,19426,99836,19.46
sample00116,monocyte,15765,99836,15.79
sample00117,b_cell,8561,93271,9.18
sample00117,cd8_t_cell,28864,93271,30.95
sample00117,cd4_t_cell,23471,93271,25.16
sample00117,nk_cell,13853,93271,14.85
sample00117,monocyte,18522,93271,19.86
sample00118,b_cell,8314,96176,8.64
sample00118,cd8_t_cell,28113,96176,29.23
sample00118,cd4_t_cell,26165,96176,27.21
sample00118,nk_cell,17439,96176,18.13
sample00118,monocyte,16145,96176,16.79
sample00119,b_cell,10519,109329,9.62
sample00119,cd8_t_cell,24245,109329,22.18
sample00119,cd4_t_cell,29357,109329,26.85
sample00119,nk_cell,15664,109329,14.33
sample00119,monocyte,29544,109329,27.02
sample00120,b_cell,5301,99469,5.33
sample00120,cd8_t_cell,25850,99469,25.99
sample00120,cd4_t_cell,28293,99469,28.44
sample00120,nk_cell,18999,99469,19.1
sample00120,monocyte,21026,99469,21.14
sample00121,b_cell,6109,100448,6.08
sample00121,cd8_t_cell,23796,100448,23.69
sample00121,cd4_t_cell,28027,100448,27.9
sample00121,nk_cell,18883,100448,18.8
sample00121,monocyte,23633,100448,23.53
sample00122,b_cell,9758,102361,9.53
sample00122,cd8_t_cell,28775,102361,28.11
sample00122,cd4_t_cell,31029,102361,30.31
sample00122,nk_cell,11544,102361,11.28
sample00122,monocyte,21255,102361,20.76
sample00123,b_cell,8588,101404,8.47
sample00123,cd8_t_cell,26624,101404,26.26
sample00123,cd4_t_cell,29889,101404,29.48
sample00123,nk_cell,17161,101404,16.92
sample00123,monocyte,19142,101404,18.88
sample00124,b_cell,7220,91040,7.93
sample00124,cd8_t_cell,23608,91040,25.93
sample00124,cd4_t_cell,28332,91040,31.12
sample00124,nk_cell,12327,91040,13.54
sample00124,monocyte,19553,91040,21.48
sample00125,b_cell,18039,108174,16.68
sample00125,cd8_t_cell,34464,108174,31.86
sample00125,cd4_t_cell,27052,108174,25.01
sample00125,nk_cell,13365,108174,12.36
sample00125,monocyte,15254,108174,14.1
sample00126,b_cell,8794,93769,9.38
sample00126,cd8_t_cell,21622,93769,23.06
sample00126,cd4_t_cell,29419,93769,31.37
sample00126,nk_cell,12852,93769,13.71
sample00126,monocyte,21082,93769,22.48
sample00127,b_cell,12536,105638,11.87
sample00127,cd8_t_cell,25347,105638,23.99
sample00127,cd4_t_cell,24468,105638,23.16
sample00127,nk_cell,19839,105638,18.78
sample00127,monocyte,23448,105638,22.2
